id,full_sentence,sentence,words,suffixes,missing_words,morphemes
bilkent-turkish-writings-1701,Durum sandığım kadar kötü olmasa da en azından son dönemde belirli bir hedefimin olmamasının bu duruma sebep olduğunu anlamış oldum,Durum sandığım kadar kötü olmasa da en azından son dönemde belirli bir hedefimin ___ bu duruma sebep olduğunu anlamış oldum,['ol'],"['nin', 'nün', 'm', 'm', 'si', 'me', 'ın', 'ma', 'ma', 'nn', 'sı', 'nun', 's', 'me', 'ün', 'n', 'su', 'in', 'un', 'sü', 'nın']",['olmamasının'],"[['ol', 'mA', 'mA', 'sH', 'NHn']]"
bilkent-turkish-writings-1239,"Bir süre ayrı kalan çift, acıya artık dayanamaz ve her şeyi yok sayarak bir araya gelir","Bir süre ayrı kalan çift, acıya artık ___ ve her şeyi yok sayarak bir araya gelir",['dayan'],"['m', 'me', '', 'e', 'ma', 'ya', 'y', 'ye', 'z', 'a']",['dayanamaz'],"[['dayan', 'YA', 'mA', 'z']]"
bilkent-turkish-writings-6740,"Yazıyı bir şeylere alet etmenin ötesinde, onu değiştirdik, yeri geldi hakaret ettik","Yazıyı bir ___ alet etmenin ötesinde, onu değiştirdik, yeri geldi hakaret ettik",['şey'],"['e', 'lr', 'lar', '', 'ler', 'ye', 'y', 'a', 'ya']",['şeylere'],"[['şey', 'lAr', 'YA']]"
bilkent-turkish-writings-6389,"Eğer o insanlar sisteme karşı isyan etmeyip o akıntıya bıraksalardı kendilerini, günümüzdeki imkanlarımız daha kısıtlı olacaktı","Eğer o insanlar sisteme karşı isyan etmeyip o akıntıya ___ kendilerini, günümüzdeki imkanlarımız daha kısıtlı olacaktı",['bırak'],"['ydu', 'tu', 'tı', 'tü', 't', 'ydı', 'ytu', 'dü', 'lar', 'ler', 'ytü', 'yti', 'lr', 'ydi', 'yd', 'ydü', 'ti', 'yt', 'ytı', 'd', 'du', 'se', 'dı', 'sa', 's', 'di']",['bıraksalardı'],"[['bırak', 'sA', 'lAr', 'YDH']]"
bilkent-turkish-writings-368,"Anlatmaya nereden başlayacağını bilmemek, neler düşündüğünü açıklayamamak","Anlatmaya nereden başlayacağını bilmemek, neler düşündüğünü ___",['açık'],"['y', 'mk', 'me', 'a', 'le', 'mek', 'ma', 'la', 'ye', 'e', 'mak', 'l', 'ya', '', 'm']",['açıklayamamak'],"[['açık', 'lA', 'YA', 'mA', 'mAk']]"
bilkent-turkish-writings-398,Bizi meraklandıran bir şey kalmamıştır artık hayatımızda,Bizi ___ bir şey kalmamıştır artık hayatımızda,['merak'],"['lan', '', 'dür', 'ln', 'ya', 'tır', 'tür', 'dur', 'y', 'dir', 'ye', 'tur', 'tir', 'n', 'e', 'tr', 'dr', 'a', 'dır', 'len']",['meraklandıran'],"[['merak', 'lAn', 'DHr', 'YA', 'n']]"
bilkent-turkish-writings-4599,Çoğumuz kelimelere kendi hayatımızı yansıttığımızın farkında bile olmayız,Çoğumuz kelimelere kendi hayatımızı ___ farkında bile olmayız,['yansı'],"['tük', 'ümuz', 'dk', 'mz', 'ımz', 'mız', 'tk', 'umuz', 'nün', 'ımız', 'umiz', 'dık', 'nın', 'ümüz', 'dik', 'nn', 'imiz', 'imız', 'ımiz', 'n', 'imuz', 'müz', 'umız', 'ımuz', 'tık', 'nin', 'ümz', 'ümiz', 'ımüz', 'un', 'tik', 'dük', 'imz', 'in', 'ümız', 'imüz', 'nun', 'umüz', 'miz', 't', 'ın', 'ün', 'tuk', 'duk', 'umz', 'muz']",['yansıttığımızın'],"[['yansı', 't', 'DHk', 'HmHz', 'NHn']]"
bilkent-turkish-writings-5084,Çözülmesi güç problemler çoğu kez öğretmenimize sormayı ve cevabını öğrenmeyi gerektirir,___ güç problemler çoğu kez öğretmenimize sormayı ve cevabını öğrenmeyi gerektirir,['çöz'],"['l', 'me', 'sü', 'si', 'ıl', 'sı', 'il', 'ul', 'm', 'ma', 'ül', 's', 'su']",['Çözülmesi'],"[['çöz', 'Hl', 'mA', 'sH']]"
bilkent-turkish-writings-3754,İnsanlar bu düşünce yapısına hayatları boyunca öylesine maruz kalıyorlar ki artık böylesi yaklaşımlar kemikleşiyor,İnsanlar bu düşünce ___ hayatları boyunca öylesine maruz kalıyorlar ki artık böylesi yaklaşımlar kemikleşiyor,['yapı'],"['e', 'y', 'sin', 'sn', 'ya', 'sun', 'ye', 'sın', '', 'a', 'sün']",['yapısına'],"[['yapı', 'sHn', 'YA']]"
bilkent-turkish-writings-5268,"Peki, ne kazanmak, neyi kazanmak… Büyüklerimiz tarafından beynimize kazınan; Gelecekte iyi bir meslek sahibi olup, rahat bir yaşam sürdürebilmek adına, çalışmak, çok çalışmak, daha çok çalışmak zorunda kaldığımız sınavları kazanmak","Peki, ne kazanmak, neyi kazanmak… Büyüklerimiz tarafından ___ kazınan; Gelecekte iyi bir meslek sahibi olup, rahat bir yaşam sürdürebilmek adına, çalışmak, çok çalışmak, daha çok çalışmak zorunda kaldığımız sınavları kazanmak",['beyin'],"['y', 'e', 'ya', 'uz', 'üz', 'um', 'ye', 'yz', 'im', 'iz', 'yüz', 'üm', 'a', 'ım', 'yuz', 'z', 'ız', 'yız', 'm', '', 'yiz']",['beynimize'],"[['beyin', 'Hm', 'YHz', 'YA']]"
bilkent-turkish-writings-1707,"Her şeyi hızlıca tüketiyor, ne anı yaşayabiliyor ne de çevremizdeki güzelliklerin farkına varabiliyoruz","Her şeyi hızlıca tüketiyor, ne anı yaşayabiliyor ne de ___ güzelliklerin farkına varabiliyoruz",['çevre'],"['nt', 'nd', 'muz', 'ımz', 'ümuz', 'umz', 'umız', 'müz', 'd', 'ki', 'mz', 'umüz', 'nde', 'nda', 'miz', 'umuz', 'ımüz', 'da', 'ımiz', 'ümız', 't', 'imz', 'imiz', 'te', 'ümiz', 'ümz', 'mız', 'de', 'ımuz', 'imız', 'ümüz', 'imuz', 'nta', 'imüz', 'ta', 'ımız', 'umiz', 'nte']",['çevremizdeki'],"[['çevre', 'HmHz', 'NDA', 'ki']]"
bilkent-turkish-writings-5882,Ünlü bilim kurgu yazarı Richard Matheson'ın kaleme aldığı I Am Legend kitabından uyarlanan film sizi en son sahnesiyle hayal kırıklığına uğratabilir,Ünlü bilim kurgu yazarı Richard Matheson'ın kaleme aldığı I Am Legend kitabından ___ film sizi en son sahnesiyle hayal kırıklığına uğratabilir,['uyarla'],"['ün', 'n', 'un', 'ye', 'e', '', 'n', 'ya', 'ın', 'in', 'y', 'a']",['uyarlanan'],"[['uyarla', 'Hn', 'YA', 'n']]"
bilkent-turkish-writings-6000,Bu sayede aile yapısı korunmuş olur,Bu ___ aile yapısı korunmuş olur,['saye'],"['ta', 't', 'te', 'de', 'da', 'd']",['sayede'],"[['saye', 'DA']]"
bilkent-turkish-writings-6161,"Oraları terk etmeye karar verdim, bacağımın aksamasına bakmadan, ne kadar gidebileceğimi düşünmeden..","Oraları terk etmeye karar verdim, bacağımın aksamasına bakmadan, ne kadar ___ düşünmeden..",['git'],"['ycek', 'ı', 'ü', 'um', 'yabil', 'ybil', 'cak', 'yacak', 'yebil', 'n', 'eck', 'üm', 'cek', 'ecak', 'ebil', 'ni', 'yack', 'nu', 'yck', 'ack', 'acek', 'acak', 'yacek', 'm', 'nü', 'bil', 'yecak', 'yeck', 'ım', 'yecek', 'im', '', 'abil', 'ecek', 'nı', 'ycak', 'i', 'u', 'ck']",['gidebileceğimi'],"[['git', 'YAbil', 'YAcAk', 'Hm', 'NH']]"
bilkent-turkish-writings-96,"Konuşulan herkes, her konu, her duygu insanın çevresiyle ortak olarak inşâ ettiği bu yapıya eklenen bir tuğladır","Konuşulan herkes, her konu, her duygu insanın çevresiyle ortak olarak inşâ ettiği bu yapıya ___ bir tuğladır",['ek'],"['e', 'n', 'lan', 'a', 'y', '', 'ln', 'ya', 'ye', 'len']",['eklenen'],"[['ek', 'lAn', 'YA', 'n']]"
bilkent-turkish-writings-3516,Biliyor ki ne kadar çok uzaklaşırsa uzaklaşsın mesafeler onu Ulaş’a o kadar çok yakınlaştırıyor,Biliyor ki ne kadar çok ___ uzaklaşsın mesafeler onu Ulaş’a o kadar çok yakınlaştırıyor,['uzak'],"['yse', 'ur', 'lş', 'ır', 'sa', 'r', 'ir', 'ysa', 'se', 'ys', 's', 'leş', 'laş', 'ür']",['uzaklaşırsa'],"[['uzak', 'lAş', 'Hr', 'YsA']]"
bilkent-turkish-writings-996,"Hiçbir genç kıza eğitim hayatlarını ileri safhalara hayattan tek beklentisi ilerletmek ve iş hayatında yer almak, kariyer yapmak gibi bir şans verilmiyor ve kadının toplumdaki rolü kısaca “evinin kadını olmak” sözüyle tanımlanıyor","Hiçbir genç kıza eğitim ___ ileri safhalara hayattan tek beklentisi ilerletmek ve iş hayatında yer almak, kariyer yapmak gibi bir şans verilmiyor ve kadının toplumdaki rolü kısaca “evinin kadını olmak” sözüyle tanımlanıyor",['hayat'],"['ler', 'lr', '', 'su', 'u', 'ü', 'i', 'lar', 's', '', 'ı', 'nu', 'nı', 'ni', 'nü', 'i', 'ı', 'ü', 'sü', 'n', 'si', 'u', 'sı']",['hayatlarını'],"[['hayat', 'lAr', 'SH', 'NH']]"
bilkent-turkish-writings-2572,"Fikrimce güven, bu konudaki anahtar kavramdır","___ güven, bu konudaki anahtar kavramdır",['fikri'],"['ç', 'nçe', 'nce', 'm', 'ca', 'nç', 'c', 'nça', 'üm', 'ım', 'nc', 'nca', 'ça', 'ce', 'im', 'çe', 'um']",['Fikrimce'],"[['fikri', 'Hm', 'NCA']]"
bilkent-turkish-writings-3491,"Tabii, edebiyatta ve bilim kurgu filmlerinde henüz sıklıkla karşılaşmadık böyle bir zaman tanımıyla","Tabii, edebiyatta ve bilim kurgu filmlerinde henüz sıklıkla ___ böyle bir zaman tanımıyla",['karşıla'],"['dı', 'ti', 'üş', 'dü', 't', 'ma', 'tü', 'd', 'ş', 'iş', 'uş', 'm', 'tu', 'du', 'tı', 'di', 'k', 'me', 'ış']",['karşılaşmadık'],"[['karşıla', 'Hş', 'mA', 'DH', 'k']]"
bilkent-turkish-writings-2945,Bu doğruları başka bir deyişle toplumun yazılı olmayan kurallarını böylece bencil şekilde yıkan birine sadece sinirlenebiliyorum,Bu doğruları başka bir deyişle toplumun yazılı olmayan kurallarını böylece bencil şekilde yıkan birine sadece ___,['sinir'],"['yabil', 'yebil', 'yüm', 'üyor', 'üm', 'm', 'ebil', 'uyor', 'lan', 'ybil', 'ln', 'um', 'len', 'yim', 'iyor', 'yor', 'yum', 'abil', 'bil', 'ym', 'yım', 'ım', 'im', 'ıyor']",['sinirlenebiliyorum'],"[['sinir', 'lAn', 'YAbil', 'Hyor', 'YHm']]"
bilkent-turkish-writings-1465,Otele gidene kadar aklımda o mahkûmlar vardı o güzel manzarayı son kez görecek olmak kim bilir nasıl hüzünlendirmişti onları,Otele gidene kadar aklımda o mahkûmlar vardı o güzel manzarayı son kez görecek olmak kim bilir nasıl ___ onları,['hüzün'],"['ytü', 'dür', 'mış', 'ydi', 'muş', 'ti', 'ytu', 'yti', 'yd', 'tr', 'ytı', 'miş', 'tü', 'tur', 'd', 'ydı', 'tür', 'yt', 't', 'dü', 'lan', 'dr', 'dir', 'dır', 'tı', 'ydü', 'tir', 'mş', 'tu', 'tır', 'di', 'müş', 'len', 'ln', 'ydu', 'dı', 'du', 'dur']",['hüzünlendirmişti'],"[['hüzün', 'lAn', 'DHr', 'mHş', 'YDH']]"
bilkent-turkish-writings-6614,"Ve bir kez kendi içindeki insanı anlamış olan bütün insanları anlar.” (Olağanüstü Bir Gece , Stefan Zweig) Bu cümleyi kimse sadece okuyup geçemez , illa ki duraksayıp düşünür.Bu kitap uzun bir öykü çok akıcı bir dili var ancak cümlelerde kendinizi , hayatınızı buluyorsunuz ve düşünmeden , kendi yaşadıklarınızı hatırlamadan duramıyorsunuz.Baron’un hissizliği bile bize hissettiriliyor.O içine düştüğü buhran ve Zweig’in yaptığı psikolojik analizler yüzünden kendimizi bir anda Baron’un yerinde buluyoruz.Bu nedenle bence bu kitap bir roman kadar etkili , çok akıcı ve açık ama aynı zamanda çok derin.Bu kitabı ve Stefan Zweig’in diğer eserlerini kesinlikle okumanızı tavsiye ediyorum","Ve bir kez kendi içindeki insanı anlamış olan bütün insanları anlar.” (Olağanüstü Bir Gece , Stefan Zweig) Bu cümleyi kimse sadece okuyup geçemez , illa ki duraksayıp düşünür.Bu kitap uzun bir öykü çok akıcı bir dili var ancak cümlelerde kendinizi , hayatınızı buluyorsunuz ve düşünmeden , kendi ___ hatırlamadan duramıyorsunuz.Baron’un hissizliği bile bize hissettiriliyor.O içine düştüğü buhran ve Zweig’in yaptığı psikolojik analizler yüzünden kendimizi bir anda Baron’un yerinde buluyoruz.Bu nedenle bence bu kitap bir roman kadar etkili , çok akıcı ve açık ama aynı zamanda çok derin.Bu kitabı ve Stefan Zweig’in diğer eserlerini kesinlikle okumanızı tavsiye ediyorum",['yaşa'],"['nız', 'inüz', 'unız', 'dük', 'dk', 'nz', 'inız', 'nı', 'unuz', 'dik', 'u', 'uniz', 'ı', 'unüz', 'nu', 'nü', 'nüz', 'üniz', '', 'ünüz', 'duk', 'ünız', 'ınüz', 'ınuz', 'n', 'ınz', 'tuk', 'lar', 'unz', 'tük', 'inuz', 'ni', 'dık', 'ınız', 'iniz', 'tk', 'ünz', 'nuz', 'inz', 'lr', 'ler', 'ünuz', 'ıniz', 'niz', 'tik', 'tık', 'ü', 'i']",['yaşadıklarınızı'],"[['yaşa', 'DHk', 'lAr', 'HnHz', 'NH']]"
bilkent-turkish-writings-624,"O zamana dek pek bilgimiz olmasa da, küçük yaşlarda farkına vardık birçok şeyi ablamla","O zamana dek pek ___ olmasa da, küçük yaşlarda farkına vardık birçok şeyi ablamla",['bilgi'],"['m', 'yz', 'z', 'üz', 'im', 'yız', 'yiz', 'um', 'iz', 'ım', 'uz', 'üm', 'yüz', 'ız', 'yuz']",['bilgimiz'],"[['bilgi', 'Hm', 'YHz']]"
bilkent-turkish-writings-6444,Bu içindeki yaraları sarma şekli olabilir,Bu ___ yaraları sarma şekli olabilir,['için'],"['de', 'd', 't', 'ta', 'da', 'te', 'ki']",['içindeki'],"[['için', 'DA', 'ki']]"
bilkent-turkish-writings-1179,Başında beklerdin aynı hizaya gelmesini görmek için,Başında beklerdin aynı hizaya ___ görmek için,['gel'],"['u', 'i', 'in', 'ni', 'nu', 'ma', 'su', 'n', 'nı', 'ı', 'sı', 'ın', 'me', 'ün', 'sü', 'n', 'ü', 'si', 'nü', '', 'm', 's', 'un']",['gelmesini'],"[['gel', 'mA', 'sH', 'Hn', 'NH']]"
bilkent-turkish-writings-912,"Hepimiz deliliğimizi saklamaya çalıştığımız bir oyun oynuyoruz, yaşamak için normlar ve kurallar koyarak benliğimizden uzaklaşıyoruz; ciddi hayatlara ciddi suratlar dikiyoruz her gece, güzel bir senaryo, beğenip hemen oynamaya başlıyoruz","Hepimiz ___ saklamaya çalıştığımız bir oyun oynuyoruz, yaşamak için normlar ve kurallar koyarak benliğimizden uzaklaşıyoruz; ciddi hayatlara ciddi suratlar dikiyoruz her gece, güzel bir senaryo, beğenip hemen oynamaya başlıyoruz",['deli'],"['ümz', 'ımuz', 'umız', 'umuz', 'i', 'lk', 'umüz', 'mız', 'nü', 'imuz', 'umiz', 'muz', 'ümuz', 'ımz', 'imz', 'ımiz', '', 'imüz', 'imız', 'u', 'lık', 'ümız', 'n', 'müz', 'miz', 'imiz', 'ımız', 'ümüz', 'mz', 'nu', 'lik', 'ü', 'ı', 'nı', 'ımüz', 'ni', 'lük', 'umz', 'luk', 'ümiz']",['deliliğimizi'],"[['deli', 'lHk', 'HmHz', 'NH']]"
bilkent-turkish-writings-2616,Benim için dünya çoğu zaman siyah ve beyazdan oluşur,Benim için dünya çoğu zaman siyah ve ___ oluşur,['beyaz'],"['dan', 'den', 'tn', 'ten', 'dn', 'tan']",['beyazdan'],"[['beyaz', 'DAn']]"
bilkent-turkish-writings-1661,"Diğer ülkelerde halk demokratik sistem gelsin diye devrimler yaparken, can ve malını tehlikeye atarken, bizim ülkemizde savaşlar kazanmış bir başkomutan kendi saltanatını kurmak yerine demokratik sistemle yönetilecek bir devlet kuruyor","Diğer ___ halk demokratik sistem gelsin diye devrimler yaparken, can ve malını tehlikeye atarken, bizim ülkemizde savaşlar kazanmış bir başkomutan kendi saltanatını kurmak yerine demokratik sistemle yönetilecek bir devlet kuruyor",['ülke'],"['de', 'ta', 'ler', 't', 'lr', 'da', 'te', 'd', 'lar']",['ülkelerde'],"[['ülke', 'lAr', 'DA']]"
bilkent-turkish-writings-5283,Daha önce de karşılaşmış olmama rağmen pek irdelemediğim bu fikir Stefan Zweig’ın Alacakaranlıkta Bir Öykü adlı öyküsünü okuduktan sonra yeniden zihnimde belirdi,Daha önce de karşılaşmış olmama rağmen pek ___ bu fikir Stefan Zweig’ın Alacakaranlıkta Bir Öykü adlı öyküsünü okuduktan sonra yeniden zihnimde belirdi,['irdele'],"['ım', 'tik', 'dük', 'tık', 'dk', 'um', 'tk', 'm', 'im', 'tuk', 'üm', 'dık', 'dik', 'm', 'duk', 'ma', 'me', 'tük']",['irdelemediğim'],"[['irdele', 'mA', 'DHk', 'Hm']]"
bilkent-turkish-writings-2662,Yanlış anlaşılmasın sigaraya ve alkole verilen para tamamen kesilip kitaba yatırılmalı demek değil amacım,Yanlış ___ sigaraya ve alkole verilen para tamamen kesilip kitaba yatırılmalı demek değil amacım,['anla'],"['ül', 'sün', 'me', 'iş', 'sun', 'uş', 'l', 'sın', 'ma', 'il', 'm', 'sin', 'ış', 'ul', 'ş', 'ıl', 'sn', 'üş']",['anlaşılmasın'],"[['anla', 'Hş', 'Hl', 'mA', 'sHn']]"
bilkent-turkish-writings-3963,2015 yılının başıydı ve üniversite hazırlıktaydım,2015 yılının başıydı ve üniversite ___,['hazır'],"['ta', 'yd', 't', 'du', 'yti', 'ydü', 'lık', 'ydi', 'luk', 'ti', 'de', 'm', 'tü', 'di', 'd', 'te', 'ytı', 'lük', 'ydu', 'dü', 'ytu', 'dı', 't', 'd', 'da', 'yt', 'lk', 'lik', 'ytü', 'tu', 'tı', 'ydı']",['hazırlıktaydım'],"[['hazır', 'lHk', 'DA', 'YDH', 'm']]"
bilkent-turkish-writings-6344,Ya da ortaokulda oynamanın hayalini kurduğunuz oyunlara layık süper bir bilgisayar,Ya da ortaokulda ___ hayalini kurduğunuz oyunlara layık süper bir bilgisayar,['oyna'],"['nun', 'ın', 'n', 'nın', 'm', 'nün', 'in', 'nn', 'me', 'un', 'ma', 'nin', 'ün']",['oynamanın'],"[['oyna', 'mA', 'NHn']]"
bilkent-turkish-writings-4486,Bu karmaşalar yüzünden çoğumuz yanlış beslenme alışkanlarına sahibiz,Bu karmaşalar yüzünden çoğumuz yanlış beslenme ___ sahibiz,['alışkan'],"['ya', 'ın', 'ün', 'nin', 'un', 'lar', 'e', 'a', 'nn', 'nun', 'ler', 'n', 'ye', 'nün', 'lr', 'nın', '', 'in', 'y']",['alışkanlarına'],"[['alışkan', 'lAr', 'NHn', 'YA']]"
